Name,Breed,DOB,Sex,Neuter,CKD?,Cause CKD,Age at diagnosis CKD,Other reason for mesure,Hypertension,Concurrent conditions,Outcome,Last follow-up,followup_time,Date of death,Survival,Date 1,Weight 1,UPCR1,Crea BQ1,Crea HCV1,Urea1,K1,Phos1,TP1,Alb 1,Biochem1,PCV1,CBC1,BP1,USG1,UA1,Clinical signs1,Duration of clinical signs,Diagnostic work-up1,Urine culture1,Ttmt 1,Date 2,Weight 2,UPCR2,Crea BQ2,Crea HCV2,Urea2,K2,Phos2,TP2,Alb 2,Biochem2,PCV2,CBC2,BP2,USG2,UA2,Clinical signs2,Ttmt 2,Date 3,Weight 3,UPCR3,Crea BQ3,Crea HCV3,Urea3,K3,Phos3,TP3,Alb 3,Biochem3,PCV2,CBC2,BP3,USG3,UA3,Clinical signs3,Ttmt3,Other controls
6339- SAYA,DSH,5/15/08,F,Y,N,,1,,NO  150 mmHg,FIV,"No improvement, likely euthanasia",,3,3/9/09,12,2/25/09,2.2,0.3,5,,75,3.2,5.1,9.5,3.2,GPT 14,25,OK,160,"1,033","PH6, BIL +",weight loss,,"irregular kidney, loss of cortical definition",,"Diet, Benacepril",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245- POMPOM,DSH,10/15/99,M,Y,Y,,10,,Y 180 mmHg,gingivitis/periodontitis,Alive,8/28/14,,,1590,3/31/09,5.8,0.014,2.6,,28,5.2,6.3,9,3.3,"ALT 41, FA 35,GLUC 96",47.1,OK,140,1035,OK,NONE,,No renal changes,negative,Diet,9/10/10,5.1,0.03,2.4,,25,4.8,6.1,8,3.7,"GLUC 106,ALT 17, FA 58",45,OK,220,1032,0K,NONE,"Diet, amlodipine",6/28/14,4.8,0.08,3.5,,32,3.5,8.2,7.2,2.9,"GLUC 87,ALT 49,FA 47",37,"EOS 0,92",165,1029,,,"Diet, amlodidine, felimazole","T4: 0,8"
5468- ISIS,Siamese,3/27/97,F,Y,Y,,12,,NO  135 mmHg,,"No improvement, likely euthanasia",,1035,3/21/12,,5/11/09,4.1,0.03,3,,26,4.7,4.8,7.8,3.2,"GLUC 86, FA 56,",37.7,OK,130,1030,ok,NONE,," irregular kidney, loss of cortical definition",negative,"Diet, Benacepril",6/19/10,3.4,0.02,3.2,,35,4.2,5.8,7.6,3.3,"GLUC 110, ALT 68,FA 56",39.4,OK,175,1025,OK,"vomit, gingivitis","Diet, famotidine,benaceprilo",2/6/12,3.4,0.04,3.8,,41,3.2,9.1,6.2,2.2,"GLUC 107,ALT 40,FA 48",17,"HB 7, RBC 3,47, WBC 16280, N 13160",,1015,,"anorexia, chronic vomiting,weight loss, ","diet, benaceprolo, marbofloxacino,famotidina, omeprazol",
2226-RUFI,DSH,8/5/95,F,Y,Y,,13,,NO  ,bonquitis crónica,Dead,7/22/09,240,8/5/09,,11/25/08,2.95,0.04,12.9,,111,,10.8,8.4,3.6,,23.2,,220,"1,015",hematuria,"weight loss, ",unknown,"loss of cortical definition, pelvis dilatation",,Benacepril amlodipine,7/22/09,2.75,0.025,7.9,,97,,8.6,5.1,2.2,,20.7,ok,165,"1,022",ok,"hiporexia, wasting, 
vomits","benacepril, amlodipine",,,,,,,,,,,,,,,,,,,
4385-BLANQUITO,DSH,2/15/05,M,Y,Y,,5,,Y 170 mmHg,"hipertiroidismo, gingivitis/periodontitis",Alive and controlled,12/29/14,1828,,,1/30/10,6.6,0,1.9,,24,,,7.2,3.3,"GLU 134, FA 49, GPT 55",34.2,OK,120,"1,040",OK,NONE,,No renal changes,,Diet,6/12/13,6.9,,1.9,,18,,,7.8,3.5,"GLU 118,ALT 24, FA 70",41.1,OK,170,"1,035",OK,Vomits,Diet,12/29/14,6.6,0.017,1.8,,19,,,9,3.1,"GLUC 148, ALT51, FA 62",28.3,,,"1,048",,,"Diet, Ht control",
7565-LUZ,DSH,6/15/10,F,Y,N,,4,,,,Alive and controlled,1/9/15,61,,,12/5/14,4.2,,2.2,,27,,,8,3.7,"GLU 233, GPT 53, FA 48",37.4,OK,,,,Polydipsia,unknown,pelvis dilatation ,,,1/9/15,4.2,0.02,1.8,,20,,,8,3.2,"GLU 218, ALT 57, FA 60",39.8,OK,,"1,045",pH 9,NONE,Marbofloxacine,,,,,,,,,,,,,,,,,,,
5245-POMPOM,norwegian forest cat,10/15/99,M,Y,Y,,10,,Y 170 mmHg,hipertiroidismo ,Alive and controlled,8/26/14,2155,,,3/31/09,4.5,0.014,2.6,,37,4.6,5.5,7.5,3.2,,34,ok,140,"1,037",ok,"Weight loss, dehydration and poor coat",unknown,loss of cortical definition,,diet,2/11/09,4.3,0.03,2.4,,35,3.9,4.7,7.2,3.8,,32.5,OK,220,"1,032",,NONE,"Wet diet, amlodipine",9/10/10,4.2,0.03,2,,,,,7.2,3.3,,,,,"1,032",,,"Wet diet, amlodipine","13/04/13 T4 4,95yg/dl// UPC 0,0124// PA168// tmt:Wet diet, amlodipine+metimazole
28/06/14 T4 0,80yg/dl// UPC 0,08// DU:1.029// Crea 3,5// PAS 165mmHg// tmt: Wet diet, amlodipine+metimazole"
5281-OLIVIA,DSH,5/18/00,F,Y,Y,,13,,NO ,Diabetes,Alive ,2/7/15,547,,,9/28/13,3.6,,2.2,,,,,,,,37,OK,125,,,"Polydipsia, polyuria",unknown,,,diet,3/10/14,3.2,,3.3,,47,,,6.8,3.2,"fructosamine: 681,2mmol/l",,,,"1,014",glucosuria,polyuria,"insuline, wet renal diet",2/7/15,4,0.017,3.3,,47,,, ,,,29.7,"WBC:3,89K/YL",,"1,017",,"heart murmur, ","Wet renal diet, famotidine, mirtazapine",
8733-PARDITA,Siamese,4/1/98,F,Y,N,,17,hyperthyroidism,Y 175 mmHg,hipertiroidismo,Alive and controlled,2/5/15,35,,,1/5/15,2.2,0.04,1.2,,62,,,7.2,3,"FA: 147, t4:7,7yg/dl",47.5,Neutrophilia,160,"1,033","bacteriuria, bilirrubinuria","weight loss, excitement, and poor coat",2 years," irregular kidney, loss of cortical definition",,,2/5/15,2.75,,1.2,,48,4.1,4,7.5,3,ALT: 137,34.7,OK,160,,,NONE,"metimazole, metilprednisolone, pradofloxacine",,,,,,,,,,,,,,,,,,,
8347-TILIN,DSH,5/20/05,F,Y,Y,,9,,NO,neoplasia intestinal ,Alive ,2/13/15,49,,,12/27/14,3.27,1.76,1.3,,17,,,9.8,3.9,"GLU: 177, ALT 47, FA:46",46.40%,OK,,"1,043",,weight loss,unknown,pelvis dilatation,negative," amlodipine,  benacepril
",1/30/15,3.47,2.08,,,,,,,,,,,,"1,035",ok,none,"marbofloxacine, metilprednisolone, clorambucil, amlodipine, subcutaneous hidratation, oral potasium, benacepril",2/13/15,3.43,1.28,1.2,,18,3.9,3.3,8.2,3.4,"GLUC 148, 
ALT>130, 
ALKP 33",42.50%,ok,,"1,043",,none,"marbofloxacine, metilprednisolone, 
clorambucil, amlodipine, 
subcutaneous hidratation, 
oral potasium, benacepril, buprex",
