Name;Breed;DOB;Sex;Neuter;CKD?;Cause CKD;Age at diagnosis CKD;Other reason for mesure;Concurrent conditions;Outcome;Last follow-up;Follow-up time (d);Date of death;Survival (d);Date 1;Weight 1;UPCR1;Crea BQ1;Crea HCV1;Urea1;K1;Phos1;TP1;Alb 1;Biochem1;PCV1;CBC1;BP1;USG1;UA1;Clinical signs1;Duration of clinical signs;Diagnostic work-up1;Urine culture1;Ttmt 1;Date 2;Weight 2;UPCR2;Crea BQ2;Crea HCV2;Urea2;K2;Phos2;TP2;Alb 2;Biochem2;PCV2;CBC2;BP2;USG2;UA2;Clinical signs2;Ttmt 2;Date 3;Weight 3;UPCR3;Crea BQ3;Crea HCV3;Urea3;K3;Phos3;TP3;Alb 3;Biochem3;PCV2;CBC2;BP3;USG3;UA3;Clinical signs3;Ttmt3;Other controls
6339- SAYA;DSH;15/05/2008;F;Y;N;;1;;FIV +;No improvement, likely euthanasia;;3;09/03/2009;12;25/02/2009;2.2;0.3;5;;75;3.2;5.1;9.5;3.2;GPT 14;25;OK;160;1,033;PH6, BIL +;weight loss;;AUS: irregular kidney, loss of cortical definition;;Diet, Benaceprilo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5245- POMPOM;DSH;15/10/1999;M;Y;Y;;10;;gingivitis;Alive;28/08/2014;;;1590;31/03/2009;5.8;0.014;2.6;;28;5.2;6.3;9;3.3;ALT 41, FA 35,GLUC 96;47.1;OK;140;1035;OK;NONE;;AUS: OK;negative;Diet;10/09/2010;5.1;0.03;2.4;;25;4.8;6.1;8;3.7;GLUC 106,ALT 17, FA 58;45;OK;220;1032;0K;NONE;Diet, amlodipine;28/06/2014;4.8;0.08;3.5;;32;3.5;8.2;7.2;2.9;GLUC 87,ALT 49,FA 47;37;EOS 0,92;165;1029;;;Diet, amlodidine, felimazole;T4: 0,8
5468- ISIS;Siamese;27/03/1997;F;Y;Y;;12;;;No improvement, likely euthanasia;;1035;21/03/2012;;11/05/2009;4.1;0.03;3;;26;4.7;4.8;7.8;3.2;GLUC 86, FA 56,;37.7;OK;130;1030;ok;NONE;;AUS: irregular kidney, loss of cortical definition;negative;Diet, Benaceprilo;19/06/2010;3.4;0.02;3.2;;35;4.2;5.8;7.6;3.3;GLUC 110, ALT 68,FA 56;39.4;OK;175;1025;OK;vomit, gingivitis;Diet, famotidine,benaceprilo;06/02/2012;3.4;0.04;3.8;;41;3.2;9.1;6.2;2.2;GLUC 107,ALT 40,FA 48;17;HB 7, RBC 3,47, WBC 16280, N 13160;;1015;;anorexia, chronic vomiting,weight loss, ;diet, benaceprolo, marbofloxacino,famotidina, omeprazol;
2226-RUFI;DSH;05/08/1995;F;Y;Y;;13;;cronic bonchitis;Dead;22/07/2009;240;05/08/2009;;25/11/2008;2.95;0.04;12.9;;111;;10.8;8.4;3.6;;23.2;;220;1,015;hematuria;weight loss, ;unknown;"AUS: Right kidney completely 
unstructured, left kidney pelvis dilatation";;Benacepril amlodipine;22/07/2009;2.75;0.025;7.9;;97;;8.6;5.1;2.2;;20.7;ok;165;1,022;ok;"hiporexia, wasting, 
vomits";benacepril, amlodipine;;;;;;;;;;;;;;;;;;;
4385-BLANQUITO;DSH;15/02/2005;M;Y;Y;;5;;hyperthyroidism, gingivitis, recurrent perineal fistula;Alive and controlled;29/12/2014;1828;;;30/01/2010;6.6;0;1.9;;24;;;7.2;3.3;GLU 134, FA 49, GPT 55;34.2;OK;120;1,040;OK;NONE;;AUS: ok;;Diet;12/06/2013;6.9;;1.9;;18;;;7.8;3.5;GLU 118,ALT 24, FA 70;41.1;OK;170;1,035;OK;Vomits;Diet;29/12/2014;6.6;0.017;1.8;;19;;;9;3.1;GLUC 148, ALT51, FA 62;28.3;;;1,048;;;Diet, Ht control;
7565-LUZ;DSH;15/06/2010;F;Y;N;;4;;;Alive and controlled;09/01/2015;61;;;05/12/2014;4.2;;2.2;;27;;;8;3.7;GLU 233, GPT 53, FA 48;37.4;OK;;;;Polydipsia;unknown;AUS: bilateral dilatation of renal pelvis;;Pradofloxacin;09/01/2015;4.2;0.02;1.8;;20;;;8;3.2;GLU 218, ALT 57, FA 60;39.8;OK;;1,045;pH 9;NONE;Marbofloxacine;;;;;;;;;;;;;;;;;;;
5245-POMPOM;norwegian forest cat;15/10/1999;M;Y;Y;;10;;Hipertension, hyperthyroidism;Alive and controlled;26/08/2014;2155;;;31/03/2009;4.5;0.014;2.6;;37;4.6;5.5;7.5;3.2;;34;ok;140;1,037;ok;Weight loss, dehydration and poor coat;unknown;AUS: structural loss;;Wet, renal diet;11/02/2009;4.3;0.03;2.4;;35;3.9;4.7;7.2;3.8;;32.5;OK;220;1,032;;NONE;Wet diet, amlodipine;10/09/2010;4.2;0.03;2;;;;;7.2;3.3;;;;;1,032;;;Wet diet, amlodipine;"13/04/13 T4 4,95yg/dl// UPC 0,0124// PA168// tmt:Wet diet, amlodipine+metimazole
28/06/14 T4 0,80yg/dl// UPC 0,08// DU:1.029// Crea 3,5// PAS 165mmHg// tmt: Wet diet, amlodipine+metimazole"
5281-OLIVIA;DSH;18/05/2000;F;Y;Y;;13;;Diabetes;Alive ;07/02/2015;547;;;28/09/2013;3.6;;2.2;;;;;;;;37;OK;125;;;Polydipsia, polyuria;unknown;;;Wet, renal diet;10/03/2014;3.2;;3.3;;47;;;6.8;3.2;fructosamine: 681,2mmol/l;;;;1,014;glucosuria;polyuria;insuline, wet renal diet;07/02/2015;4;0.017;3.3;;47;;; ;;;29.7;WBC:3,89K/YL;;1,017;;heart murmur, ;Wet renal diet, famotidine, mirtazapine;
8733-PARDITA;Siamese;01/04/1998;F;Y;N;;17;hyperthyroidism;hyperthyroidism, ventricular hypertrophia;Alive and controlled;05/02/2015;35;;;05/01/2015;2.2;0.04;1.2;;62;;;7.2;3;FA: 147, t4:7,7yg/dl;47.5;Neutrophilia;160;1,033;bacteriuria, bilirrubinuria;weight loss, excitement, and poor coat;2 years;AUS: irregular kidney, loss of cortical definition, cholangitis, IBD, ventricular hypertrophic cardiomyopathy;;metimazole, pradofloxacine, metilprednisolone;05/02/2015;2.75;;1.2;;48;4.1;4;7.5;3;ALT: 137;34.7;OK;160;;;NONE;metimazole, metilprednisolone, pradofloxacine;;;;;;;;;;;;;;;;;;;
8347-TILIN;DSH;20/05/2005;F;Y;Y;;9;;intestinal lymphoma;Alive ;13/02/2015;49;;;27/12/2014;3.27;1.76;1.3;;17;;;9.8;3.9;GLU: 177, ALT 47, FA:46;46.40%;OK;;1,043;;weight loss;unknown;AUS: digestive disorders (lymphoma) dilatation of renal pelvis;negative;"marbofloxacine, metilprednisolone, clorambucil, amlodipine, subcutaneous hidratation, oral potasium, benacepril
";30/01/2015;3.47;2.08;;;;;;;;;;;;1,035;ok;none;marbofloxacine, metilprednisolone, clorambucil, amlodipine, subcutaneous hidratation, oral potasium, benacepril;13/02/2015;3.43;1.28;1.2;;18;3.9;3.3;8.2;3.4;"GLUC 148, 
ALT>130, 
ALKP 33";42.50%;ok;;1,043;;none;"marbofloxacine, metilprednisolone, 
clorambucil, amlodipine, 
subcutaneous hidratation, 
oral potasium, benacepril, buprex";
